Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2023-01-17T04:00:00-08:00 Los_Angeles,23.5169997215271kW
2023-01-17T05:00:00-08:00 Los_Angeles,23.57283306121826kW
2023-01-17T06:00:00-08:00 Los_Angeles,23.5058331489563kW
2023-01-17T07:00:00-08:00 Los_Angeles,23.304832935333252kW
2023-01-17T08:00:00-08:00 Los_Angeles,23.58400011062622kW
2023-01-17T09:00:00-08:00 Los_Angeles,23.829665660858154kW
2023-01-17T10:00:00-08:00 Los_Angeles,23.673332691192627kW
2023-01-17T11:00:00-08:00 Los_Angeles,23.650999546051025kW
2023-01-17T12:00:00-08:00 Los_Angeles,23.76266622543335kW
2023-01-17T13:00:00-08:00 Los_Angeles,23.952499389648438kW
2023-01-17T14:00:00-08:00 Los_Angeles,23.874332904815674kW
2023-01-17T15:00:00-08:00 Los_Angeles,23.729166507720947kW
2023-01-17T16:00:00-08:00 Los_Angeles,24.32100009918213kW
2023-01-17T17:00:00-08:00 Los_Angeles,24.41033363342285kW
2023-01-17T18:00:00-08:00 Los_Angeles,23.416500568389893kW
2023-01-17T19:00:00-08:00 Los_Angeles,21.77500009536743kW
2023-01-17T20:00:00-08:00 Los_Angeles,23.23783254623413kW
2023-01-17T21:00:00-08:00 Los_Angeles,23.650999546051025kW
2023-01-17T22:00:00-08:00 Los_Angeles,23.81850004196167kW
2023-01-17T23:00:00-08:00 Los_Angeles,23.82966709136963kW
2023-01-18T00:00:00-08:00 Los_Angeles,23.695666790008545kW
2023-01-18T01:00:00-08:00 Los_Angeles,23.885499477386475kW
2023-01-18T02:00:00-08:00 Los_Angeles,23.773833751678467kW
2023-01-18T03:00:00-08:00 Los_Angeles,23.963666439056396kW
2023-01-18T04:00:00-08:00 Los_Angeles,24.008333206176758kW
2023-01-18T05:00:00-08:00 Los_Angeles,23.78499984741211kW
2023-01-18T06:00:00-08:00 Los_Angeles,23.69566583633423kW
2023-01-18T07:00:00-08:00 Los_Angeles,22.77999973297119kW
2023-01-18T08:00:00-08:00 Los_Angeles,23.5169997215271kW
2023-01-18T09:00:00-08:00 Los_Angeles,23.59516668319702kW
2023-01-18T10:00:00-08:00 Los_Angeles,23.673333168029785kW
2023-01-18T11:00:00-08:00 Los_Angeles,23.863165855407715kW
