Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2022-01-09T02:00:00-08:00 Los_Angeles,0kW
2022-01-09T03:00:00-08:00 Los_Angeles,0kW
2022-01-09T04:00:00-08:00 Los_Angeles,0kW
2022-01-09T05:00:00-08:00 Los_Angeles,0kW
2022-01-09T06:00:00-08:00 Los_Angeles,0kW
2022-01-09T07:00:00-08:00 Los_Angeles,0kW
2022-01-09T08:00:00-08:00 Los_Angeles,0kW
2022-01-09T09:00:00-08:00 Los_Angeles,0kW
2022-01-09T10:00:00-08:00 Los_Angeles,0kW
2022-01-09T11:00:00-08:00 Los_Angeles,0kW
2022-01-09T12:00:00-08:00 Los_Angeles,0kW
2022-01-09T13:00:00-08:00 Los_Angeles,0kW
2022-01-09T14:00:00-08:00 Los_Angeles,0kW
2022-01-09T15:00:00-08:00 Los_Angeles,0kW
2022-01-09T16:00:00-08:00 Los_Angeles,0kW
2022-01-09T17:00:00-08:00 Los_Angeles,0kW
2022-01-09T18:00:00-08:00 Los_Angeles,0kW
2022-01-09T19:00:00-08:00 Los_Angeles,0kW
2022-01-09T20:00:00-08:00 Los_Angeles,0kW
2022-01-09T21:00:00-08:00 Los_Angeles,0kW
2022-01-09T22:00:00-08:00 Los_Angeles,0kW
2022-01-09T23:00:00-08:00 Los_Angeles,0kW
2022-01-10T00:00:00-08:00 Los_Angeles,0kW
2022-01-10T01:00:00-08:00 Los_Angeles,0kW
2022-01-10T02:00:00-08:00 Los_Angeles,0kW
2022-01-10T03:00:00-08:00 Los_Angeles,0kW
2022-01-10T04:00:00-08:00 Los_Angeles,0kW
2022-01-10T05:00:00-08:00 Los_Angeles,0kW
2022-01-10T06:00:00-08:00 Los_Angeles,0kW
2022-01-10T07:00:00-08:00 Los_Angeles,21.50699956715107kW
2022-01-10T08:00:00-08:00 Los_Angeles,23.684500217437744kW
2022-01-10T09:00:00-08:00 Los_Angeles,23.159666061401367kW
2022-01-10T10:00:00-08:00 Los_Angeles,22.690666675567627kW
2022-01-10T11:00:00-08:00 Los_Angeles,23.52816677093506kW
2022-01-10T12:00:00-08:00 Los_Angeles,23.69566583633423kW
2022-01-10T13:00:00-08:00 Los_Angeles,24.097666263580322kW
2022-01-10T14:00:00-08:00 Los_Angeles,24.968666076660156kW
2022-01-10T15:00:00-08:00 Los_Angeles,26.464999675750732kW
2022-01-10T16:00:00-08:00 Los_Angeles,26.889333248138428kW
2022-01-10T17:00:00-08:00 Los_Angeles,26.297500133514404kW
2022-01-10T18:00:00-08:00 Los_Angeles,25.515833377838135kW
2022-01-10T19:00:00-08:00 Los_Angeles,25.292499542236328kW
2022-01-10T20:00:00-08:00 Los_Angeles,24.957499980926514kW
2022-01-10T21:00:00-08:00 Los_Angeles,24.521999835968018kW
2022-01-10T22:00:00-08:00 Los_Angeles,16.325666427612305kW
2022-01-10T23:00:00-08:00 Los_Angeles,0kW
2022-01-11T00:00:00-08:00 Los_Angeles,0kW
2022-01-11T01:00:00-08:00 Los_Angeles,0kW
2022-01-11T02:00:00-08:00 Los_Angeles,0kW
2022-01-11T03:00:00-08:00 Los_Angeles,0kW
2022-01-11T04:00:00-08:00 Los_Angeles,0kW
2022-01-11T05:00:00-08:00 Los_Angeles,0kW
2022-01-11T06:00:00-08:00 Los_Angeles,2.501333236694336kW
